pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,morph,variant,Kroll,sensorymod,zdic,note,datasource,morphology
ga1~ba1,gā~bā,ga~ba,嘎叭,嘎叭,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1~cha2,gā~chá,ga~cha,胳查,胳查,kak,*[C.q]ˤak,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1~cha2,gā~chá,ga~cha,胳察,胳察,kak~tsrheat,*[C.q]ˤak~*[tsʰ]ˤret,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1~cha2~cha2,gā~chá~chá,ga~cha~cha,胳查查,胳查查,kak,*[C.q]ˤak,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1~ga1,gā~gā,ga~ga,嘎嘎,嘎嘎,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1~lang1~ga1~lang1,gā~lāng~gā~lāng,ga~lang~ga~lang,嘎啷嘎啷,嘎啷嘎啷,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1~zhi1,gā~zhī,ga~zhi,嘎吱,嘎吱,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1~zhi1~ga1~zhi1,gā~zhī~gā~zhī,ga~zhi~ga~zhi,嘎吱嘎吱,嘎吱嘎吱,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge2~la3,gé~lǎ,ge~la,噶喇,噶喇,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge2~zhi1~zhi1,gé~zhī~zhī,ge~zhi~zhi,噶吱吱,噶吱吱,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~beng1,gē~bēng,ge~beng,咯嘣,咯嘣,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~cha1,gē~chā,ge~cha,咯喳,咯喳,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~cha3~cha3,gē~chǎ~chǎ,ge~cha~cha,疙蹅蹅,疙蹅蹅,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~dang1~ge1~dang1,gē~dāng~gē~dāng,ge~dang~ge~dang,咯當咯當,咯当咯当,NA~tang~NA~tang,NA~*tˤaŋ~NA~*tˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~deng1,gē~dēng,ge~deng,咯噔,咯噔,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge2~deng1,gé~dēng,ge~deng,格噔,格噔,kaek,*kˤrak,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge2~deng1~ge2~deng1,gé~dēng~gé~dēng,ge~deng~ge~deng,格噔格噔,格噔格噔,kaek~NA~kaek,*kˤrak~NA~*kˤrak,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~ge1,gē~gē,ge~ge,咯咯,咯咯,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge2~ge2,gé~gé,ge~ge,格格,格格,kaek~kaek,*kˤrak~*kˤrak,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~ge1~luo2~luo2,gē~gē~luó~luó,ge~ge~luo~luo,咯咯羅羅,咯咯罗罗,NA~NA~la~la,NA~NA~*rˤaj~*rˤaj,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~la1~la1,gē~lā~lā,ge~la~la,咯辣辣,咯辣辣,NA~lat~lat,NA~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge2~zhe2,gé~zhé,ge~zhe,格磔,格磔,kaek,*kˤrak,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
