pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,morph,variant,Kroll,sensorymod,zdic,note,datasource,morphology
ge1~zhi1,gē~zhī,ge~zhi,咯吱,咯吱,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~zhi1~ge1~zhi1,gē~zhī~gē~zhī,ge~zhi~ge~zhi,咯吱咯吱,咯吱咯吱,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge1~zhi1~zhi1,gē~zhī~zhī,ge~zhi~zhi,咯吱吱,咯吱吱,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge2~ge2~bo2~bo2,gé~gé~bó~bó,ge~ge~bo~bo,膈膈膊膊,膈膈膊膊,NA~NA~phak~phak,NA~NA~*pʰˤak~*pʰˤak,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~la1~la1,gè~lā~lā,ge~la~la,各剌剌,各剌剌,kak~lat~lat,*kˤak~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~la1~la1,gè~lā~lā,ge~la~la,合剌剌,合剌剌,kop~lat~lat,*kˤop~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~la1~la1,gè~lā~lā,ge~la~la,屹剌剌,屹剌剌,NA~lat~lat,NA~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~la1~la1,gè~lā~lā,ge~la~la,扢剌剌,扢剌剌,NA~lat~lat,NA~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~lang2~lang2,gè~láng~láng,ge~lang~lang,各琅琅,各琅琅,kak~lang~lang,*kˤak~*[r]ˤaŋ~*[r]ˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~zhi1~ge4~zhi1,gè~zhī~gè~zhī,ge~zhi~ge~zhi,硌吱硌吱,硌吱硌吱,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~zhi1~zhi1,gè~zhī~zhī,ge~zhi~zhi,各支支,各支支,kak~tsye~tsye,*kˤak~*ke~*ke,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~zhi1~zhi1,gè~zhī~zhī,ge~zhi~zhi,革支支,革支支,keak~tsye~tsye,*kˤrək~*ke~*ke,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ge4~zhi1~zhi1,gè~zhī~zhī,ge~zhi~zhi,格支支,格支支,kaek~tsye~tsye,*kˤrak~*ke~*ke,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gen2~gen2~ga1,gén~gén~gā,gen~gen~ga,哏哏嘎,哏哏嘎,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
geng3~geng3~ye4~ye4,gěng~gěng~yè~yè,geng~geng~ye~ye,哽哽咽咽,哽哽咽咽,NA~NA~'en~'en,NA~NA~*ʔˤi[n]~*ʔˤi[n],NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gou1~gou1~lou2,gōu~gōu~lóu,gou~gou~lou,勾勾嘍,勾勾喽,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gou1~jiao1,gōu~jiāo,gou~jiao,鈎胶,鈎胶,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~gu1~chi1~chi1,gū~gū~chī~chī,gu~gu~chi~chi,咕咕吃吃,咕咕吃吃,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~dong1,gū~dōng,gu~dong,咕咚,咕咚,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~dong1~gu1~dong1,gū~dōng~gū~dōng,gu~dong~gu~dong,咕咚咕咚,咕咚咕咚,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~du1,gū~dū,gu~du,咕嘟,咕嘟,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~du1~du1,gū~dū~dū,gu~du~du,咕嘟嘟,咕嘟嘟,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~du1~gu1~du1,gū~dū~gū~dū,gu~du~gu~du,咕嘟咕嘟,咕嘟咕嘟,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~gu1,gū~gū,gu~gu,咕咕,咕咕,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~gu1,gū~gū,gu~gu,呱呱,呱呱,ku~ku,*kʷˤa~*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~gu1~ji1~ji1,gū~gū~jī~jī,gu~gu~ji~ji,咕咕唧唧,咕咕唧唧,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~gu1~nong2~nong2,gū~gū~nóng~nóng,gu~gu~nong~nong,咕咕噥噥,咕咕哝哝,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~ji1,gū~jī,gu~ji,咕唧,咕唧,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~ji1,gū~jī,gu~ji,咕嘰,咕叽,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~ji1~gu1~ji1,gū~jī~gū~jī,gu~ji~gu~ji,咕唧咕唧,咕唧咕唧,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~ji1~gu1~ji1,gū~jī~gū~jī,gu~ji~gu~ji,咕嘰咕嘰,咕叽咕叽,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~long2,gū~lóng,gu~long,咕隆,咕隆,NA~ljuwng,NA~*[r]uŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~long2~long2,gū~lóng~lóng,gu~long~long,咕隆隆,咕隆隆,NA~ljuwng~ljuwng,NA~*[r]uŋ~*[r]uŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~lou5~gu1~lou5,gū~lou~gū~lou,gu~lou~gu~lou,咕嘍咕嘍,咕喽咕喽,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~lu1,gū~lū,gu~lu,咕嚕,咕噜,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~lu4,gǔ~lù,gu~lu,骨碌,骨碌,kwot,*kˤut,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~lu1~gu1~lu1,gū~lū~gū~lū,gu~lu~gu~lu,咕嚕咕嚕,咕噜咕噜,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~lu1~lu1,gū~lū~lū,gu~lu~lu,咕嚕嚕,咕噜噜,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~lu1~lu1,gū~lū~lū,gu~lu~lu,骨碌碌,骨碌碌,kwot,*kˤut,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~lu1~lu1~lu1,gū~lū~lū~lū,gu~lu~lu~lu,咕嚕嚕嚕,咕噜噜噜,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu1~nong2,gū~nóng,gu~nong,咕噥,咕哝,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~du1~du1,gǔ~dū~dū,gu~du~du,古都都,古都都,kuX~tu~tu,*kˤaʔ~*tˤa~*tˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~du1~du1,gǔ~dū~dū,gu~du~du,骨都都,骨都都,kwot~tu~tu,*kˤut~*tˤa~*tˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~gu3,gǔ~gǔ,gu~gu,汩汩,汩汩,kwot~kwot,*[kʷ]ˤ[ə]t~*[kʷ]ˤ[ə]t,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~gu3,gǔ~gǔ,gu~gu,汩沒,汩没,kwot~kwot,*[kʷ]ˤ[ə]t~*[kʷ]ˤ[ə]t,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~gu3,gǔ~gǔ,gu~gu,角角,角角,kaewk~kaewk,*C.[k]ˤrok~*C.[k]ˤrok,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~gu3,gǔ~gǔ,gu~gu,穀穀,穀穀,kuwk~kuwk,*[k]ˤok~*[k]ˤok,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~guo1,gǔ~guō,gu~guo,汩活,汩活,kwot~hwat,*[kʷ]ˤ[ə]t~*[g]ʷˤat,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~la1~la1,gǔ~lā~lā,gu~la~la,古剌剌,古剌剌,kuX~lat~lat,*kˤaʔ~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~la1~la1,gǔ~lā~lā,gu~la~la,古鹿鹿,古鹿鹿,kuX~luwk~luwk,*kˤaʔ~*mə-rˤok~*mə-rˤok,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~la1~la1,gǔ~lā~lā,gu~la~la,骨轆轆,骨辘辘,kwot,*kˤut,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~la1~la1,gǔ~lā~lā,gu~la~la,骨剌剌,骨剌剌,kwot~lat~lat,*kˤut~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~lu1~lu1,gǔ~lū~lū,gu~lu~lu,古魯魯,古鲁鲁,kuX~luX~luX,*kˤaʔ~*[r]ˤaʔ~*[r]ˤaʔ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gu3~lu1~lu1,gǔ~lū~lū,gu~lu~lu,土魯魯,土鲁鲁,thuX~luX~luX,*tʰˤaʔ~*[r]ˤaʔ~*[r]ˤaʔ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1,guā,gua,呱,呱,ku,*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~da1,guā~dā,gua~da,呱嗒,呱嗒,ku,*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~da1,guā~dā,gua~da,呱噠,呱哒,ku,*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~da1~gua1~da1,guā~dā~guā~dā,gua~da~gua~da,呱嗒呱嗒,呱嗒呱嗒,ku~NA~ku,*kʷˤa~NA~*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~da1~gua1~da1,guā~dā~guā~dā,gua~da~gua~da,呱噠呱噠,呱哒呱哒,ku~NA~ku,*kʷˤa~NA~*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~gua1,guā~guā,gua~gua,呱呱,呱呱,ku~ku,*kʷˤa~*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~gua1~za1~za1,guā~guā~zā~zā,gua~gua~za~za,刮刮匝匝,刮刮匝匝,kwaet~kwaet,*[kʷˤ]r[a]t~*[kʷˤ]r[a]t,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~gua1~za1~za1,guā~guā~zā~zā,gua~gua~za~za,刮刮咂咂,刮刮咂咂,kwaet~kwaet,*[kʷˤ]r[a]t~*[kʷˤ]r[a]t,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~gua1~za2~za2,guā~guā~zá~zá,gua~gua~za~za,刮刮雜雜,刮刮杂杂,kwaet~kwaet~dzop~dzop,*[kʷˤ]r[a]t~*[kʷˤ]r[a]t~*[dz]ˤ[u]p~*[dz]ˤ[u]p,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~ji1,guā~jī,gua~ji,呱唧,呱唧,ku,*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~ji1~gua1~ji1,guā~jī~guā~jī,gua~ji~gua~ji,呱唧呱唧,呱唧呱唧,ku~NA~ku,*kʷˤa~NA~*kʷˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~la3~la3,guā~lǎ~lǎ,gua~la~la,刮喇喇,刮喇喇,kwaet,*[kʷˤ]r[a]t,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
gua1~la3~la3,guā~lǎ~lǎ,gua~la~la,勃喇喇,勃喇喇,bwot,*[b]ˤut,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
guang1,guāng,guang,咣,咣,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
guang1~dang1,guāng~dāng,guang~dang,咣當,咣当,NA~tang,NA~*tˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
guang1~dang1,guāng~dāng,guang~dang,咣噹,咣噹,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
guo1~du1~du1,guō~dū~dū,guo~du~du,嘓嘟嘟,嘓嘟嘟,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
guo1~du1~du1~du1,guō~dū~dū~dū,guo~du~du~du,嘓嘟嘟嘟,嘓嘟嘟嘟,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
guo1~guo1,guō~guō,guo~guo,嘓嘓,嘓嘓,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
guo1~zhuo2,guō~zhuó,guo~zhuo,嘓啅,嘓啅,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ha1,hā,ha,哈,哈,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ha1~ha1,hā~hā,ha~ha,哈哈,哈哈,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hai1,hāi,hai,嗨,嗨,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
han1~han1,hān~hān,han~han,唅唅,唅唅,hom~hom,*Cə-m-kˤ[ə]m~*Cə-m-kˤ[ə]m,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hang2~yo1,háng~yō,hang~yo,杭唷,杭唷,hang,*[m]-[g]ˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hang2~yo1,háng~yō,hang~yo,杭育,杭育,hang~yuwk,*[m]-[g]ˤaŋ~*m-quk,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hang2~yo1~hang2~yo1,háng~yō~háng~yō,hang~yo~hang~yo,杭育杭育,杭育杭育,hang~yuwk~hang~yuwk,*[m]-[g]ˤaŋ~*m-quk~*[m]-[g]ˤaŋ~*m-quk,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hao2,háo,hao,號,号,haw,*[C.g]ˤaw,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hao4~hao4,hào~hào,hao~hao,浩浩,浩浩,hawX~hawX,*[g]ˤuʔ~*[g]ˤuʔ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
he1~he1,hē~hē,he~he,呵呵,呵呵,xa~xa,*qʰˤaj~*qʰˤaj,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
he2~luo2,hé~luó,he~luo,和羅,和罗,hwa~la,*[ɢ]ˤoj~*rˤaj,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
he4~he4,hè~hè,he~he,荷荷,荷荷,ha~ha,*[g]ˤaj~*[g]ˤaj,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hei1~hei1,hēi~hēi,hei~hei,嘿嘿,嘿嘿,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hei1~lou2~lou2,hēi~lóu~lóu,hei~lou~lou,黑嘍嘍,黑喽喽,xok,*m̥ˤək (dialect *m̥ˤ- > xˤ-),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hei1~lou2~lou2,hēi~lóu~lóu,hei~lou~lou,黑婁婁,黑娄娄,xok~lju~lju,*m̥ˤək (dialect *m̥ˤ- > xˤ-)~*[r]o~*[r]o,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
heng1,hēng,heng,哼,哼,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
heng1~chi1,hēng~chī,heng~chi,哼哧,哼哧,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
heng1~chi1~heng1~chi1,hēng~chī~hēng~chī,heng~chi~heng~chi,哼哧哼哧,哼哧哼哧,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
heng1~heng1,hēng~hēng,heng~heng,哼哼,哼哼,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
heng1~heng1~ji1~ji1,hēng~hēng~jī~jī,heng~heng~ji~ji,哼哼唧唧,哼哼唧唧,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1,hōng,hong,哄,哄,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1,hōng,hong,轟,轰,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1,hōng,hong,訇,訇,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1,hōng,hong,輷,輷,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1,hōng,hong,鍧,鍧,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~hong1,hōng~hōng,hong~hong,烘烘,烘烘,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~hong1,hōng~hōng,hong~hong,哄哄,哄哄,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~hong1,hōng~hōng,hong~hong,轟轟,轰轰,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~hong1,hōng~hōng,hong~hong,訇訇,訇訇,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~hong1,hōng~hōng,hong~hong,輷輷,輷輷,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~hong1~long2~long2,hōng~hōng~lóng~lóng,hong~hong~long~long,轟轟龍隆,轰轰龙隆,NA~NA~ljowng~ljuwng,NA~NA~*[mə]-roŋ~*[r]uŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~hui1,hōng~hūi,hong~hui,轟豗,轰豗,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~ke1,hōng~kē,hong~ke,訇磕,訇磕,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~leng2,hōng~léng,hong~leng,訇稜,訇稜,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~leng2,hōng~léng,hong~leng,輷稜,輷稜,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~long1~hong1~long1,hōng~lōng~hōng~lōng,hong~long~hong~long,轟隆轟隆,轰隆轰隆,NA~ljuwng~NA~ljuwng,NA~*[r]uŋ~NA~*[r]uŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~long2~long2,hōng~lóng~lóng,hong~long~long,轟隆隆,轰隆隆,NA~ljuwng~ljuwng,NA~*[r]uŋ~*[r]uŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~ying3,hōng~yǐng,hong~ying,訇隠,訇隠,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong1~ying3,hōng~yǐng,hong~ying,轟隠,轰隠,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hong2~hong2,hóng~hóng,hong~hong,浤浤,浤浤,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hou1,hōu,hou,齁,齁,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hou1~hou1,hōu~hōu,hou~hou,齁齁,齁齁,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hou1~hou1,hōu~hōu,hou~hou,鈎鈎,鈎鈎,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hou1~lou2~lou2,hōu~lóu~lóu,hou~lou~lou,齁嘍嘍,齁喽喽,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hou1~lou2~lou2,hōu~lóu~lóu,hou~lou~lou,喝嘍嘍,喝喽喽,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1,hū,hu,呼,呼,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1,hū,hu,唿,唿,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~chi1,hū~chī,hu~chi,呼哧,呼哧,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~chi4,hū~chì,hu~chi,呼叱,呼叱,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~chi1,hū~chī,hu~chi,呼蚩,呼蚩,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~chi1~hu1~chi1,hū~chī~hū~chī,hu~chi~hu~chi,呼哧呼哧,呼哧呼哧,xu~NA~xu,*qʰˤa~NA~*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~chi1~hu1~chi1,hū~chī~hū~chī,hu~chi~hu~chi,呼嗤呼嗤,呼嗤呼嗤,xu~NA~xu,*qʰˤa~NA~*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~da1~da1,hū~dā~dā,hu~da~da,呼噠噠,呼哒哒,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~hu1,hū~hū,hu~hu,呼呼,呼呼,xu~xu,*qʰˤa~*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~hu1~lu1~lu1,hū~hū~lū~lū,hu~hu~lu~lu,忽忽嚕嚕,忽忽噜噜,xwot~xwot,*m̥ˤut~*m̥ˤut,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~hu1~xi1~xi1,hū~hū~xī~xī,hu~hu~xi~xi,呼呼淅淅,呼呼淅淅,xu~xu,*qʰˤa~*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~la1,hū~lā,hu~la,呼啦,呼啦,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~la1,hū~lā,hu~la,呼喇,呼喇,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~la1~hu1~la1,hū~lā~hū~lā,hu~la~hu~la,呼啦呼啦,呼啦呼啦,xu~NA~xu,*qʰˤa~NA~*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~la1~la1,hū~lā~lā,hu~la~la,呼啦啦,呼啦啦,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~la1~la1,hū~lā~lā,hu~la~la,呼喇喇,呼喇喇,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~la1~la1,hū~lā~lā,hu~la~la,忽剌剌,忽剌剌,xwot~lat~lat,*m̥ˤut~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~la1~la1,hū~lā~lā,hu~la~la,忽喇喇,忽喇喇,xwot,*m̥ˤut,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~la1~la1,hū~lā~lā,hu~la~la,唿喇喇,唿喇喇,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~li1~hu1~lu1,hū~lī~hū~lū,hu~li~hu~lu,呼哩呼嚕,呼哩呼噜,xu~NA~xu,*qʰˤa~NA~*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~long2,hū~lóng,hu~long,忽隆,忽隆,xwot~ljuwng,*m̥ˤut~*[r]uŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~long2~hu1~long2,hū~lóng~hū~lóng,hu~long~hu~long,呼隆呼隆,呼隆呼隆,xu~ljuwng~xu~ljuwng,*qʰˤa~*[r]uŋ~*qʰˤa~*[r]uŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~lu1,hū~lū,hu~lu,呼嚕,呼噜,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~lu1~lu1,hū~lū~lū,hu~lu~lu,呼嚕嚕,呼噜噜,xu,*qʰˤa,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~lu3~lu3,hū~lǔ~lǔ,hu~lu~lu,忽魯魯,忽鲁鲁,xwot~luX~luX,*m̥ˤut~*[r]ˤaʔ~*[r]ˤaʔ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hu1~lu1~lu1,hū~lū~lū,hu~lu~lu,唿嚕嚕,唿噜噜,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1,huā,hua,嘩,哗,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1,huā,hua,砉,砉,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~hua1,huā~huā,hua~hua,嘩嘩,哗哗,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~hua1~la1~la1,huā~huā~lā~lā,hua~hua~la~la,嘩嘩拉拉,哗哗拉拉,NA~NA~lop~lop,NA~NA~*[r]ˤəp~*[r]ˤəp,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~hua1~la1~la1,huā~huā~lā~lā,hua~hua~la~la,嘩嘩啦啦,哗哗啦啦,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~la1,huā~lā,hua~la,嘩啦,哗啦,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~la1,huā~lā,hua~la,嘩喇,哗喇,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~la1~hua1~la1,huā~lā~huā~lā,hua~la~hua~la,嘩啦嘩啦,哗啦哗啦,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~la1~hua1~la1,huā~lā~huā~lā,hua~la~hua~la,花拉花拉,花拉花拉,xwae~lop~xwae~lop,*qʷʰˤra~*[r]ˤəp~*qʷʰˤra~*[r]ˤəp,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~la1~hua1~la1,huā~lā~huā~lā,hua~la~hua~la,嘩喇嘩喇,哗喇哗喇,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~la1~la1,huā~lā~lā,hua~la~la,嘩喇喇,哗喇喇,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~la1~la1,huā~lā~lā,hua~la~la,嘩啦啦,哗啦啦,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~la1~la1~la1,huā~lā~lā~lā,hua~la~la~la,嘩啦啦啦,哗啦啦啦,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
hua1~lang1,huā~lāng,hua~lang,嘩啷,哗啷,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
